Nama,Harga,Terjual,Kota,Link
Pupuk Organik Cair Tanaman Buah /Bunga 500ml POC kompos RTS,Rp28.700,573 Terjual,KAB. BOGOR,https://shopee.co.id/Pupuk-Organik-Cair-Tanaman-Buah-Bunga-500ml-POC-kompos-RTS-i.327234592.10398425098?sp_atk=fdae2f1c-3481-496f-a2e6-230d80094172&xptdk=fdae2f1c-3481-496f-a2e6-230d80094172
INFARM - Pupuk Organik Cair Tanaman Buah / Bunga 500mL POC Kompos,Rp40.000,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Buah-Bunga-500mL-POC-Kompos-i.93053250.14949569200?sp_atk=5fd1252b-91eb-46a0-b918-3c860dba57b0&xptdk=5fd1252b-91eb-46a0-b918-3c860dba57b0
"PUPUK MURAH OBAT UNTUK CABE RAWIT BIAR LEBAT DAN BANYAK, NPK CAIR BIO ISTIQOMAH GROW isi 500 ML Menyuburkan Daun dan Buah Cabe Rawit, Obat Pembesar Cabe Rawit Kuat di Musim Hujan, Pupuk Organik Peyubur Tanaman Buah Cabe Rawit Yang Bagus",Rp30.000,404 Terjual,KOTA TASIKMALAYA,https://shopee.co.id/PUPUK-MURAH-OBAT-UNTUK-CABE-RAWIT-BIAR-LEBAT-DAN-BANYAK-NPK-CAIR-BIO-ISTIQOMAH-GROW-isi-500-ML-Menyuburkan-Daun-dan-Buah-Cabe-Rawit-Obat-Pembesar-Cabe-Rawit-Kuat-di-Musim-Hujan-Pupuk-Organik-Peyubur-Tanaman-Buah-Cabe-Rawit-Yang-Bagus-i.518687409.20734725051?sp_atk=bdde77bb-d17f-4dea-ac6a-8f2c6d2da0d4&xptdk=bdde77bb-d17f-4dea-ac6a-8f2c6d2da0d4
Pupuk Organik Cair KILAT 1 Liter,Rp95.000 - Rp165.000,9 Terjual,KAB. JEMBER,https://shopee.co.id/Pupuk-Organik-Cair-KILAT-1-Liter-i.800853933.23721638485?sp_atk=0177bfa9-b76f-42ad-acb4-7ecc8756e34a&xptdk=0177bfa9-b76f-42ad-acb4-7ecc8756e34a
TANDURIA - Bio Elixir 1 LITER Pupuk Organik Cair Kompos Cair Compost Tea Nutrisi Tanaman Hias Sayur Bunga Buah Siap Pakai Pupuk Penyubur Tanah Mikroba Bakteri Baik Aktif Vigor Anti Patogen Anti Bodi hama,Rp55.000,"3,5RB Terjual",KOTA MALANG,https://shopee.co.id/TANDURIA-Bio-Elixir-1-LITER-Pupuk-Organik-Cair-Kompos-Cair-Compost-Tea-Nutrisi-Tanaman-Hias-Sayur-Bunga-Buah-Siap-Pakai-Pupuk-Penyubur-Tanah-Mikroba-Bakteri-Baik-Aktif-Vigor-Anti-Patogen-Anti-Bodi-hama-i.476834979.12823575286?sp_atk=1f408a9f-f150-4d8f-992e-33fe424ce1a4&xptdk=1f408a9f-f150-4d8f-992e-33fe424ce1a4
VIGORIN PUPUK ORGANIK CAIR & SUPLEMEN TANAMAN,Rp69.900,39 Terjual,KAB. PRINGSEWU,https://shopee.co.id/VIGORIN-PUPUK-ORGANIK-CAIR-SUPLEMEN-TANAMAN-i.26782237.22211700224?sp_atk=9e8f4911-9f24-489e-a68f-1fbeb126b4c2&xptdk=9e8f4911-9f24-489e-a68f-1fbeb126b4c2
INFARM - Pupuk Organik Cair Tanaman Buah / Bunga 100mL POC Kompos,Rp20.000,112 Terjual,KOTA TANGERANG,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Buah-Bunga-100mL-POC-Kompos-i.654825025.23119889984?sp_atk=0777ee57-7771-497d-8899-e64f5193b7d6&xptdk=0777ee57-7771-497d-8899-e64f5193b7d6
"""FERLIQUID"" Pupuk organik cair by FERMETAN",Rp100.000 - Rp185.000,169 Terjual,KOTA JAKARTA TIMUR,https://shopee.co.id/-FERLIQUID-Pupuk-organik-cair-by-FERMETAN-i.654905655.17713973617?sp_atk=93eeda8e-8ec0-4dda-8f5c-31d504fe76cf&xptdk=93eeda8e-8ec0-4dda-8f5c-31d504fe76cf
PUPUK ORGANIK CAIR & SUPLEMEN TANAMAN VIGORIN 1150 ML,Rp65.200,247 Terjual,KAB. WONOSOBO,https://shopee.co.id/PUPUK-ORGANIK-CAIR-SUPLEMEN-TANAMAN-VIGORIN-1150-ML-i.180399789.21750076270?sp_atk=16adcf83-eaa1-4483-b9be-064bd8b46633&xptdk=16adcf83-eaa1-4483-b9be-064bd8b46633
Pupuk Cair Organic Bakteri Fotosintesis PSB ( 1 Liter ),Rp10.000,314 Terjual,KOTA TANGERANG,https://shopee.co.id/Pupuk-Cair-Organic-Bakteri-Fotosintesis-PSB-(-1-Liter-)-i.21673002.12275734559?sp_atk=9d0f01a8-c584-435c-84bf-e1862fbb0110&xptdk=9d0f01a8-c584-435c-84bf-e1862fbb0110
GANDASIL B CAIR 1liter,Rp31.500,183 Terjual,KAB. JEMBER,https://shopee.co.id/GANDASIL-B-CAIR-1liter-i.131080514.15082676392?sp_atk=50fd9746-10d7-4f30-b381-65fd670900c7&xptdk=50fd9746-10d7-4f30-b381-65fd670900c7
PUPUK ORGANIK DIGROW HIJAU - MERAH 1LITER / PUPUK CAIR ORGANIK DI GROW RUMPUT LAUT,Rp50.000 - Rp155.000,,KAB. TUBAN,https://shopee.co.id/PUPUK-ORGANIK-DIGROW-HIJAU-MERAH-1LITER-PUPUK-CAIR-ORGANIK-DI-GROW-RUMPUT-LAUT-i.23303921.20962836581?sp_atk=dc31e837-82ca-4388-85e7-f7f53f122f83&xptdk=dc31e837-82ca-4388-85e7-f7f53f122f83
Super Terobos Buah 500ml - Pupuk Cair Organik Ramah Lingkungan,Rp10.400,138 Terjual,KOTA DEPOK,https://shopee.co.id/Super-Terobos-Buah-500ml-Pupuk-Cair-Organik-Ramah-Lingkungan-i.469752656.11035074240?sp_atk=ae77c9c8-370f-457c-a215-463cf5774339&xptdk=ae77c9c8-370f-457c-a215-463cf5774339
PUPUK ORGANIK CAIR POC SAYURAN DAUN 500ML,Rp28.700,52 Terjual,KAB. BOGOR,https://shopee.co.id/PUPUK-ORGANIK-CAIR-POC-SAYURAN-DAUN-500ML-i.327234592.22120072499?sp_atk=5ac583dd-b4b8-4b7a-b54c-5f96d4f94d08&xptdk=5ac583dd-b4b8-4b7a-b54c-5f96d4f94d08
INFARM - Pupuk Organik Cair Tanaman Buah / Bunga 100mL POC Kompos,Rp20.000,786 Terjual,KOTA SURABAYA,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Buah-Bunga-100mL-POC-Kompos-i.93053250.23319877529?sp_atk=6d92d1e2-d44e-437f-9773-fe07560a465d&xptdk=6d92d1e2-d44e-437f-9773-fe07560a465d
Fast Up 500 ml Pupuk Cair Organik Super | Mengembalikan Keriting / Puret Semangka Melon Cabai,Rp35.000 - Rp75.000,4 Terjual,KAB. KLATEN,https://shopee.co.id/Fast-Up-500-ml-Pupuk-Cair-Organik-Super-Mengembalikan-Keriting-Puret-Semangka-Melon-Cabai-i.81933553.9465822686?sp_atk=5dfb2a68-81a3-4c61-88fd-98c77613bcaf&xptdk=5dfb2a68-81a3-4c61-88fd-98c77613bcaf
COD PUPUK ORGANIK CAIR UNTUK SEMUA TANAMAN AMINO-AGE (BELI 2 BONUS KAOS),Rp28.500 - Rp54.500,14 Terjual,KAB. MALANG,https://shopee.co.id/COD-PUPUK-ORGANIK-CAIR-UNTUK-SEMUA-TANAMAN-AMINO-AGE-(BELI-2-BONUS-KAOS)-i.52173055.4262447793?sp_atk=c7ead9ee-b1aa-46ab-af32-f2a076c0a126&xptdk=c7ead9ee-b1aa-46ab-af32-f2a076c0a126
"POC Pupuk Organik Cair Buah Lebat, Bunga dan Tanaman Hias 500ml - Biomor",Rp36.950,944 Terjual,KOTA DEPOK,https://shopee.co.id/POC-Pupuk-Organik-Cair-Buah-Lebat-Bunga-dan-Tanaman-Hias-500ml-Biomor-i.263588690.5161757102?sp_atk=c82a1773-f11d-4f5d-9740-853687851935&xptdk=c82a1773-f11d-4f5d-9740-853687851935
INFARM - Pupuk Organik Cair Tanaman Cabai 500mL POC Kompos,Rp40.000,710 Terjual,KOTA SURABAYA,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Cabai-500mL-POC-Kompos-i.93053250.23419876258?sp_atk=55b59ed3-c45b-456b-9329-6f1134a7401a&xptdk=55b59ed3-c45b-456b-9329-6f1134a7401a
INFARM - Pupuk Organik Cair Tanaman Daun / Sayur 500mL POC Kompos,Rp40.000,"9,3RB Terjual",KOTA SURABAYA,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Daun-Sayur-500mL-POC-Kompos-i.93053250.12275535889?sp_atk=df23fb51-8f5e-4c37-8d2d-97b70006ca1c&xptdk=df23fb51-8f5e-4c37-8d2d-97b70006ca1c
Pupuk Organik Cair Valagro SWEET Biostimulant isi 1 Ltr - PEMANIS BUAH,Rp772.000,8 Terjual,KOTA SURABAYA,https://shopee.co.id/Pupuk-Organik-Cair-Valagro-SWEET-Biostimulant-isi-1-Ltr-PEMANIS-BUAH-i.722389290.21744779594?sp_atk=f0bd3b81-d3c4-4a5d-9fc5-fc13cf594f91&xptdk=f0bd3b81-d3c4-4a5d-9fc5-fc13cf594f91
INFARM - Pupuk Organik Cair Tanaman Buah / Bunga 500mL POC Kompos,Rp40.000,"1,5RB Terjual",KOTA TANGERANG,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Buah-Bunga-500mL-POC-Kompos-i.654825025.19130993496?sp_atk=08a5262e-7ef9-475f-b17a-d088578bac00&xptdk=08a5262e-7ef9-475f-b17a-d088578bac00
INFARM - Pupuk Organik Cair Tanaman Daun/ Sayur 100mL POC Kompos,Rp20.000,101 Terjual,KOTA TANGERANG,https://shopee.co.id/INFARM-Pupuk-Organik-Cair-Tanaman-Daun-Sayur-100mL-POC-Kompos-i.654825025.23119889943?sp_atk=b1a2b06d-7df0-40ab-9d4d-2bc93907cf62&xptdk=b1a2b06d-7df0-40ab-9d4d-2bc93907cf62
Pupuk Organik D.I Grow Hijau 1 Liter 100% original  Pupuk Organik Cair,Rp155.000,46 Terjual,KAB. TUBAN,https://shopee.co.id/Pupuk-Organik-D.I-Grow-Hijau-1-Liter-100-original-Pupuk-Organik-Cair-i.23303921.7071655738?sp_atk=1a8ca61e-8b79-4341-bf95-7cf98b329302&xptdk=1a8ca61e-8b79-4341-bf95-7cf98b329302
SUPERMES 300ML 100%ORI PUPUK CAIR ORGANIK EFEKTIFITAS TINGGI,Rp25.000,282 Terjual,KAB. PONOROGO,https://shopee.co.id/SUPERMES-300ML-100-ORI-PUPUK-CAIR-ORGANIK-EFEKTIFITAS-TINGGI-i.374377773.5580173522?sp_atk=f1ef6d60-30a3-47d7-bf23-6311ee126734&xptdk=f1ef6d60-30a3-47d7-bf23-6311ee126734
BOPHO-KAL ( PUPUK SEMI ORGANIK CAIR ) KEMASAN 1L PER BOTOL,Rp190.000,8 Terjual,KAB. BANYUMAS,https://shopee.co.id/BOPHO-KAL-(-PUPUK-SEMI-ORGANIK-CAIR-)-KEMASAN-1L-PER-BOTOL-i.931764441.19172628867?sp_atk=535f47ef-1d1f-4fde-b624-f2df60709673&xptdk=535f47ef-1d1f-4fde-b624-f2df60709673
