Nama,Harga,Terjual,Kota,Link
Pupuk  Manohara Pupuk Kalsium Calsium Boron Fertilizer 1 Kg 100% Original,Rp17.000,"2,9RB Terjual",KAB. BOGOR,https://shopee.co.id/Pupuk-Manohara-Pupuk-Kalsium-Calsium-Boron-Fertilizer-1-Kg-100-Original-i.30371938.4151754500?sp_atk=98fd0187-85e1-4d0e-808d-8879db76f4af&xptdk=98fd0187-85e1-4d0e-808d-8879db76f4af
PUPUK MAJEMUK MAKRO MIKRO BESFARM 1 KARTON ISI 16 BOX,Rp1.120.000,19 Terjual,KAB. BANDUNG,https://shopee.co.id/PUPUK-MAJEMUK-MAKRO-MIKRO-BESFARM-1-KARTON-ISI-16-BOX-i.265203712.23123241020?sp_atk=5dac7def-de25-4f76-8eda-617b7f0fe7c1&xptdk=5dac7def-de25-4f76-8eda-617b7f0fe7c1
Cal-Ha Pupuk Kalsium Plus Asam Humat 1kg,Rp27.600,1 Terjual,KAB. SLEMAN,https://shopee.co.id/Cal-Ha-Pupuk-Kalsium-Plus-Asam-Humat-1kg-i.946670114.19773174145?sp_atk=3a3ba5f7-facc-4946-b3e7-44ee6e7f7a5c&xptdk=3a3ba5f7-facc-4946-b3e7-44ee6e7f7a5c
Bisatani -  Pupuk Kalsium (Calsium) Plus Silika CALSINUT Mencegah Rontok Daun dan Bunga Pada Tanaman,Rp40.000,45 Terjual,KOTA SURABAYA,https://shopee.co.id/Bisatani-Pupuk-Kalsium-(Calsium)-Plus-Silika-CALSINUT-Mencegah-Rontok-Daun-dan-Bunga-Pada-Tanaman-i.607235258.20453630838?sp_atk=b5e8ba07-8dca-471d-b222-cea26cb5ba97&xptdk=b5e8ba07-8dca-471d-b222-cea26cb5ba97
Pupuk Nutrisi Super Calsium 99%,Rp13.000,"1,7RB Terjual",KOTA DEPOK,https://shopee.co.id/Pupuk-Nutrisi-Super-Calsium-99--i.276875543.5859816740?sp_atk=8727e4d0-db28-43de-93b8-2d9433c9713c&xptdk=8727e4d0-db28-43de-93b8-2d9433c9713c
PUPUK CALCIUM MANOHARA 1 KG ORIGINAL PACK/ PUPUK KALSIUM BORON,Rp14.750,5RB Terjual,KAB. WONOSOBO,https://shopee.co.id/PUPUK-CALCIUM-MANOHARA-1-KG-ORIGINAL-PACK-PUPUK-KALSIUM-BORON-i.45320795.13547606890?sp_atk=63e6d7c3-74fe-4ca7-88c3-1b1982b881ff&xptdk=63e6d7c3-74fe-4ca7-88c3-1b1982b881ff
Pupuk Nutrisi Super Kalsium 99% Mencegah Kerontokan dan Penambah Rasa Buah,Rp12.150,3RB Terjual,KOTA DEPOK,https://shopee.co.id/Pupuk-Nutrisi-Super-Kalsium-99-Mencegah-Kerontokan-dan-Penambah-Rasa-Buah-i.77262414.7161298328?sp_atk=61a69ce9-a930-4371-8863-2be92bcb21d9&xptdk=61a69ce9-a930-4371-8863-2be92bcb21d9
Kalsium Manohara 1kg,Rp16.500,"3,7RB Terjual",KAB. KEDIRI,https://shopee.co.id/Kalsium-Manohara-1kg-i.513912257.11431363005?sp_atk=1a6f597e-c333-4217-9dce-8441ac7c646d&xptdk=1a6f597e-c333-4217-9dce-8441ac7c646d
Pupuk Kalsium Biru NUTRIBLUE isi 1kg,Rp19.500,147 Terjual,KAB. CIANJUR,https://shopee.co.id/Pupuk-Kalsium-Biru-NUTRIBLUE-isi-1kg-i.663419499.19651736494?sp_atk=c4b7ab47-43c0-428d-8c73-039e9581f3d9&xptdk=c4b7ab47-43c0-428d-8c73-039e9581f3d9
Pupuk Kalsium Boron Untuk Sayur dan Buah MANOHARA 1 KG,Rp17.500,283 Terjual,KOTA MALANG,https://shopee.co.id/Pupuk-Kalsium-Boron-Untuk-Sayur-dan-Buah-MANOHARA-1-KG-i.125925661.12804870112?sp_atk=12708ffe-037f-4080-8b10-54e4d4c3ada3&xptdk=12708ffe-037f-4080-8b10-54e4d4c3ada3
